"";"Reference";"Taxonomy";"Part";"Number";"Call";"year";"pct";"Tech";"X";"dataset";"bitSize";"lognormSize";"scTransSize";"explainedByPCT";"explainedBySD";"explainedByPCT_SD2";"ngenes"
"1";"@aztekin2019identification";8355;"tail";13199;"AztekinTailData()";"2019";0,070386722;"10x";"";"AztekinTailData";68,8;338,6;968,1;-0,370329511442737;-0,303808187102882;-0,643638849261949;31535
"2";"@bach2017differentiation";10090;"mammary gland";25806;"BachMammaryData()";"2017";0,084731562;"10x";"";"BachMammaryData";123,6;700,7;1858,4;-0,959459559245711;-0,00185418008675448;-0,980037586330425;27998
"3";"@bacher2020low";9606;"T cells";104417;"BacherTCellData()";"2020";0,040838166;"10x";"";"BacherTCellData";569,6;1637,1;5616,3;-0,827665325608708;-0,617962007637274;-0,976524784249752;33538
"4";"@baron2016singlecell";9606;"pancreas";8569;"BaronPancreasData('human')";"2016";0,093775926;"inDrop ";"";"BaronPancreasDataHuman";33;187,1;565,7;-0,651514372993968;-0,658676311586356;-0,928049699272135;20125
"5";"@baron2016singlecell";10090;"pancreas";1886;"BaronPancreasData('mouse')";"2016";0,110281759;"inDrop ";"";"BaronPancreasDataMouse";6,1;36,5;116,4;-0,86994727978323;-0,452928063523885;-0,892771053209208;14878
"7";"@buettner2015computational";10090;"embryonic stem cells";288;"BuettnerESCData()";"2015";0,255936137;"Quartz-seq";"";"BuettnerESCData";1,7;35,5;84,2;-0,805584373224741;-0,783402096091457;-0,985725174712151;38293
"8";"@bunis2021haematopoietic";9606;"haematopoietic stem and progenitor";5183;"BunisHSPCData()";"2021";0,056087519;"10x";"v3";"BunisHSPCData";28,4;114,9;335,5;-0,899703005836437;-0,240550135347826;-0,984602702425366;33694
"9";"@campbell2017molecular";10090;"brain";21086;"CampbellBrainData()";"2017";0,072083751;"Drop-seq";"";"CampbellBrainData";98;469,2;1272,2;-0,966433727234461;-0,690188276694711;-0,989955307328019;26774
"10";"@chen2017singlecell";10090;"brain";14437;"ChenBrainData()";"2017";0,066433525;"Drop-seq";"";"ChenBrainData";61;258,3;753,7;-0,946052657112005;-0,524600545753641;-0,988641966079462;23284
"11";"@darmanis2015survey";9606;"brain";466;"DarmanisBrainData()";"2015";0,192167795;"Fluidigm";"";"DarmanisBrainData";1,9;24;62;-0,432556503618046;0,233611029934927;-0,779638102825796;22085
